"Scripture","RCL ","Roman","Episcopal","Lutheran","United Methodist","Row Order"
"Exodus 12:1-14","Holy/Maundy Thursday A","Holy/Maundy Thursday A","Holy/Maundy Thursday A","Holy/Maundy Thursday A","Holy/Maundy Thursday A",56
,"Proper 18/ Ordinary 23A","Holy/Maundy Thursday B","Holy/Maundy Thursday B","Holy/Maundy Thursday B","Proper 18/ Ordinary 23A",57
,"Holy/Maundy Thursday B","Holy/Maundy Thursday C","Holy/Maundy Thursday C","Holy/Maundy Thursday C","Holy/Maundy Thursday B",58
,"Holy/Maundy Thursday C",,,,"Holy/Maundy Thursday C",59
"Exodus 14:10-31","Easter Vigil A",,"Easter Vigil A","Easter Vigil A","Easter Vigil A",60
,"Proper 19/ Ordinary 24A",,"Easter Day A","Easter Vigil B","Proper 19/ Ordinary 24A",61
,"Easter Vigil B",,"Easter Vigil B","Easter Vigil C","Easter Vigil B",62
,"Easter Vigil C",,"Easter Vigil C",,"Easter Vigil C",63
"Exodus 14:19 - 15:21","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",64
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",65
,"Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C","Easter Vigil C",66
"Exodus 15:1-21","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",67
,"Proper 19/ Ordinary 24A","Easter Vigil B","Easter Vigil B","Easter Vigil B","Proper 19/ Ordinary 24A",68
,"Easter Vigil B",,,,"Easter Vigil B",69
"Exodus 16:2-15","Proper 20/ Ordinary 25A","Proper 13/ Ordinary 18B","Proper 13/ Ordinary 18B","Proper 13/ Ordinary 18B","Proper 20/ Ordinary 25A",70
,"Proper 13/ Ordinary 18B",,,,,71
"Exodus 17:1-7","Lent 3A","Lent 3A","Lent 3A","Lent 3A","Lent 3A",72
,"Proper 21/ Ordinary 26A",,,,"Proper 21/ Ordinary 26A",73
"Exodus 17:8-13",,"Proper24C/ Ordinary 29C",,,,74
"Exodus 19:2-8","Proper 6A / Ordinary 11A","Proper 6A / Ordinary 11A",,,,75
"Exodus 20:1-20","Proper 22/ Ordinary 27A","Lent 3B","Lent 3B","Lent 3B","Proper 22/ Ordinary 27A",76
,"Lent 3B",,,,"Lent 3B",77
"Exodus 22:20-27",,"Proper 25/ Ordinary 30A","Proper 25/ Ordinary 30A",,,78
"Exodus 24:12-18","Transfiguration A",,,"Transfiguration A","Transfiguration A",79
"Exodus 28:1-30",,,"Easter 7B",,,80
"Exodus 32:1-14","Proper 23/ Ordinary 28A","Proper 19C/ Ordinary 24C","Proper 19C/ Ordinary 24C","Proper 19C/ Ordinary 24C","Proper 23/ Ordinary 28A",81
,"Proper 19C/ Ordinary 24C",,"Proper24C/ Ordinary 29C","Proper24C/ Ordinary 29C",,82
,"Proper24C/ Ordinary 29C",,,,,83
"Exodus 33:12-23","Proper 24/ Ordinary 29A",,,,"Proper 24/ Ordinary 29A",84
"Exodus 34:1-9",,,"Holy Name A",,,85
,,,"Trinity A",,,86
,,,"Holy Name B",,,87
,,,"Holy Name C",,,88
"Exodus 34:29-35","Transfiguration C","Transfiguration C","Transfiguration A","Transfiguration C","Transfiguration C",89
,,,"Transfiguration B",,,90
,,,"Transfiguration C",,,91
"Leviticus 13:1-46",,"Epiphany 6B",,,,92
"Leviticus 19:1-18","Epiphany 7A","Epiphany 7A","Epiphany 7A","Epiphany 7A","Epiphany 7A",93
,"Proper 25/ Ordinary 30A",,"Easter 5C","Proper 25/ Ordinary 30A",,94
"Numbers 6:22-27","Holy Name A","Holy Name A",,"Holy Name A","Holy Name A",95
,"Holy Name B","Holy Name B",,"Holy Name B","Holy Name B",96
,"Holy Name C","Holy Name C",,"Holy Name C","Holy Name C",97
"Numbers 11:4-29","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B",,98
"Numbers 11:24-30","Pentecost A",,,"Pentecost A",,99
"Numbers 21:4-9","Lent 4B",,,"Lent 4B","Lent 4B",100
"Numbers 27:12-23",,,"Easter 4C",,,101
"Deuteronomy 4:1-9","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B",,102
"Deuteronomy 4:32-40",,"Trinity B","Easter 5B",,,103
"Deuteronomy 5:6-21","Epiphany 9B","Epiphany 9B","Epiphany 9B","Epiphany 9B","Epiphany 9B",104
,"Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B","Proper 4/ Ordinary 9B",,105
"Deuteronomy 6:1-9","Proper 26B/ Ordinary 31B","Proper 26B/ Ordinary 31B","Proper 26B/ Ordinary 31B","Proper 26B/ Ordinary 31B",,106
"Deuteronomy 6:20-25",,,"Easter 5A",,,107
"Deuteronomy 8:1-20","Thanksgiving A","Body and Blood of Christ A","Thanksgiving A","Thanksgiving A","Thanksgiving A",108
,,"Thanksgiving A","Proper 14/ Ordinary 19B",,,109
,,"Thanksgiving B","Thanksgiving B",,,110
,,"Thanksgiving C","Thanksgiving C",,,111
"Deuteronomy 11:18-28","Epiphany 9A","Epiphany 9A","Epiphany 9A","Epiphany 9A","Epiphany 9A",112
,"Proper 4A",,,,,113
"Deuteronomy 15:7-11",,,"Proper 8/ Ordinary 13B",,,114
"Deuteronomy 18:15-20","Epiphany 4B","Epiphany 4B","Epiphany 4B","Epiphany 4B","Epiphany 4B",115
"Deuteronomy 26:1-11","Lent 1C","Lent 1C","Lent 1C","Lent 1C","Lent 1C",116
,"Thanksgiving C",,,"Thanksgiving C","Thanksgiving C",117
"Deuteronomy 30:9-14","Proper 10C/ Ordinary 15C","Proper 10C/ Ordinary 15C","Proper 10C/ Ordinary 15C","Proper 10C/ Ordinary 15C",,118
"Deuteronomy 30:15-20","Epiphany 6A",,"Epiphany 6A","Epiphany 6A","Epiphany 6A",119
,"Proper 18C/ Ordinary 23C",,"Proper 18C/ Ordinary 23C","Proper 18C/ Ordinary 23C",,120
"Deuteronomy 34:1-12","Proper 25/ Ordinary 30A",,,,"Proper 25/ Ordinary 30A",121
"Joshua 3:7-17","Proper 26/ Ordinary 31A",,,,"Proper 26/ Ordinary 31A",122
"Joshua 4:19 - 5:12",,"Lent 4C",,,,123
"Joshua 5:9-12","Lent 4C","Lent 4C","Lent 4C","Lent 4C","Lent 4C",124
"Joshua 24:1-25","Proper 27/ Ordinary 32A","Proper 16/ Ordinary 21B","Proper 16/ Ordinary 21B","Proper 16/ Ordinary 21B","Proper 27/ Ordinary 32A",125
,"Proper 16/ Ordinary 21B",,,,,126
"Judges 4:1-7","Proper 28/ Ordinary 33A",,,,"Proper 28/ Ordinary 33A",127
"Judges 6:11-24",,,"Epiphany 5C",,,128
"Ruth 1:1-19","Proper 26B/ Ordinary 31B",,"Proper 23C/ Ordinary 28C",,"Proper 26B/ Ordinary 31B",129
"Ruth 3:1 - 4:17","Proper 27B/ Ordinary 32B",,,,"Proper 27B/ Ordinary 32B",130
"1 Samuel 1:4-20","Proper 28B/ Ordinary 33B",,,,"Proper 28B/ Ordinary 33B",131
"1 Samuel 2:1-10","Proper 28B/ Ordinary 33B",,,,"Proper 28B/ Ordinary 33B",132
"1 Samuel 2:18-26","Christmas 1C",,,"Christmas 1C","Christmas 1C",133
"1 Samuel 3:1-20","Epiphany 2B","Epiphany 2B","Epiphany 2B","Epiphany 2B","Epiphany 2B",134
,"Proper 4/ Ordinary 9B",,,,"Proper 4/ Ordinary 9B",135
"1 Samuel 8:4-20; 11:14-15","Proper 5/ Ordinary 10B",,,,"Proper 5/ Ordinary 10B",136
"1 Samuel 12:19-24",,,"Easter 7C",,,137
"1 Samuel 15:34 - 16:13","Proper 6/ Ordinary 11B",,,,"Proper 6/ Ordinary 11B",138
"1 Samuel 16:1-13","Lent 4A","Lent 4A","Lent 4A","Lent 4A","Lent 4A",139
"1 Samuel 17:1-49","Proper 7/ Ordinary 12B",,,,"Proper 7/ Ordinary 12B",140
"1 Samuel 17:57 - 18:16","Proper 7/ Ordinary 12B",,,,,141
"1 Samuel 26:2-23",,"Epiphany 7C",,,,142
"2 Samuel 1:1-27","Proper 8/ Ordinary 13B",,,,"Proper 8/ Ordinary 13B",143
"2 Samuel 5:1-10","Proper 9/ Ordinary 14B","Christ the King C",,,"Proper 9/ Ordinary 14B",144
"2 Samuel 6:1-19","Proper 10/ Ordinary 15B",,,,"Proper 10/ Ordinary 15B",145
"2 Samuel 7:1-16","Advent 4B","Advent 4B","Advent 4B","Advent 4B","Advent 4B",146
,"Proper 11/ Ordinary 16B",,,,"Proper 11/ Ordinary 16B",147
"2 Samuel 11:1-15","Proper 12/ Ordinary 17B",,,,"Proper 12/ Ordinary 17B",148
"2 Samuel 11:26 - 12:15","Proper 13/ Ordinary 18B","Proper 6C/ Ordinary 11C","Proper 6C/ Ordinary 11C","Proper 6C/ Ordinary 11C","Proper 13/ Ordinary 18B",149
,"Proper 6C/ Ordinary 11C",,,,,150
"2 Samuel 18:5-33","Proper 14/ Ordinary 19B",,,,"Proper 14/ Ordinary 19B",151
"2 Samuel 23:1-7","Christ the King B",,,,"Christ the King B",152
"1 Kings 2:10-12; 3:3-14","Proper 15/ Ordinary 20B",,"Ascension",,"Proper 15/ Ordinary 20B",153
"1 Kings 3:5-12","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A","Proper 12A/ Ordinary 17/A",,154
"1 Kings 8:1-43","Proper 16/ Ordinary 21B","Epiphany 9C","Epiphany 9C","Epiphany 9C","Proper 16/ Ordinary 21B",155
,"Epiphany 9C","Proper 4C/ Ordinary 9C","Proper 4C/ Ordinary 9C","Proper 4C/ Ordinary 9C","Epiphany 9C",156
,"Proper 4C/ Ordinary 9C",,,,,157
"1 Kings 8:55-61",,,"Thanksgiving A",,,158
,,,"Thanksgiving B",,,159
,,,"Thanksgiving C",,,160
"1 Kings 17:8-24","Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B","Proper 27B/ Ordinary 32B","Proper 5C/ Ordinary 10C",161
,"Proper 5C/ Ordinary 10C","Proper 5C/ Ordinary 10C","Proper 5C/ Ordinary 10C","Proper 5C/ Ordinary 10C",,162
"1 Kings 18:20-39","Proper 4C/ Ordinary 9C",,,,"Proper 4C/ Ordinary 9C",163
"1 Kings 19:1-15","Proper 14/ Ordinary 19B","Proper 14/ Ordinary 19B",,"Proper 14/ Ordinary 19B","Proper 7C/ Ordinary 12C",164
,"Proper 7C/ Ordinary 12C",,,,,165
"1 Kings 19:9-18","Proper 14A/ Ordinary 19A","Proper 14A/ Ordinary 19A",,"Proper 14A/ Ordinary 19A",,166
"1 Kings 19:15-21","Proper 8C/ Ordinary 13C","Proper 8C/ Ordinary 13C","Proper 8C/ Ordinary 13C","Proper 8C/ Ordinary 13C",,167
"1 Kings 21:1-21","Proper 6C/ Ordinary 11C",,,,"Proper 6C/ Ordinary 11C",168
"2 Kings 2:1-15","Transfiguration B",,"Proper 12/ Ordinary 17B","Transfiguration B","Transfiguration B",169
,"Proper 8C/ Ordinary 13C",,,,"Proper 8C/ Ordinary 13C",170
"2 Kings 4:8-37",,"Proper 8A/ Ordinary 13A",,,,171
"2 Kings 4:42-44","Proper 12/ Ordinary 17B","Proper 12/ Ordinary 17B",,"Proper 12/ Ordinary 17B",,172
"2 Kings 5:1-17","Epiphany 6B","Proper 23C/ Ordinary 28C","Epiphany 6B","Epiphany 6B","Epiphany 6B",173
,"Proper 9C/ Ordinary 14C",,,"Proper 23C/ Ordinary 28C","Proper 9C/ Ordinary 14C",174
,"Proper 23C/ Ordinary 28C",,,,,175
"2 Chronicles 36:14-23",,"Lent 4B","Lent 4B",,,176
"Nehemiah 8:1-10","Epiphany 3C","Epiphany 3C","Epiphany 3C","Epiphany 3C","Epiphany 3C",177
"Nehemiah 9:6-15",,,"Easter 4A",,,178
"Nehemiah 9:16-20",,,"Proper 13A/ Ordinary 18A",,,179
"Esther 7:1-10; 9:20-22","Proper 21/ Ordinary 26B",,,,"Proper 21/ Ordinary 26B",180
"Job 1:1; 2:1-10","Proper 22/ Ordinary 27B",,,,"Proper 22/ Ordinary 27B",181
"Job 7:1-7",,,,,,182
"Job 14:1-14","Holy Saturday A","Holy Saturday A","Holy Saturday A","Holy Saturday A","Holy Saturday A",183
,"Holy Saturday B","Holy Saturday B","Holy Saturday B","Holy Saturday B","Holy Saturday B",184
,"Holy Saturday C","Holy Saturday C","Holy Saturday C","Holy Saturday C","Holy Saturday C",185
"Job 19:23-27","Proper 27C/ Ordinary 32C",,"Proper 27C/ Ordinary 32C","Proper 27C/ Ordinary 32C",,186
"Job 23:1-17","Proper 23B/ Ordinary 28B",,,,"Proper 23B/ Ordinary 28B",187
"Job 38:1-41","Proper 7/ Ordinary 12B","Proper 7/ Ordinary 12B","Proper 7/ Ordinary 12B","Proper 7/ Ordinary 12B","Proper 24B/ Ordinary 29B",188
,"Proper 24B/ Ordinary 29B",,,,,189
"Job 42:1-17","Proper 25B/ Ordinary 30B",,"Easter 2C",,"Proper 25B/ Ordinary 30B",190
"Psalm 1","Proper 25/ Ordinary 30A","Epiphany 6C","Proper 25/ Ordinary 30A","Proper 25/ Ordinary 30A","Easter 7B",191
,"Easter 7B",,"Epiphany 6C","Easter 7B","Proper 20/ Ordinary 25B",192
,"Proper 20/ Ordinary 25B",,"Proper 18C/ Ordinary 23C","Epiphany 6C","Epiphany 6C",193
,"Epiphany 6C",,,"Proper 18C/ Ordinary 23C",,194
,"Proper 18C/ Ordinary 23C",,,,,195
"Psalm 2","Transfiguration A",,,"Transfiguration A",,196
"Psalm 4","Easter 3B","Easter 3B",,"Easter 3B","Easter 3B",197
,,,,,"Proper 20C/ Ordinary 25C",198
"Psalm 5","Proper 6C/ Ordinary 11C",,,,"Proper 6C/ Ordinary 11C",199
"Psalm 8","Holy Name A","New Year A","Holy Name A","Holy Name A","Holy Name A",200
,"New Year A","Trinity A","New Year A","New Year A","New Year A",201
,"Trinity A","New Year B","Holy Name B","Trinity A","Trinity A",202
,"Holy Name B","New Year C","New Year B","Holy Name B","Holy Name B",203
,"New Year B","Trinity C","Proper 22/ Ordinary 27B","New Year B","New Year B",204
,"Proper 22/ Ordinary 27B",,"Holy Name C","Proper 22/ Ordinary 27B","Holy Name C",205
,"Holy Name C",,"New Year C","Holy Name C","New Year C",206
,"New Year C",,,"New Year C","Trinity C",207
,"Trinity C",,,"Trinity C",,208
"Psalm 9","Proper 7/ Ordinary 12B",,,,"Proper 7/ Ordinary 12B",209
"Psalm 13","Proper 8A/ Ordinary 13A",,"Proper 25B/ Ordinary 30B",,"Proper 8A/ Ordinary 13A",210
"Psalm 14","Proper 12/ Ordinary 17B",,,,"Proper 12/ Ordinary 17B",211
,"Proper 19C/ Ordinary 24C",,,,"Proper 19C/ Ordinary 24C",212
"Psalm 15","Epiphany 4A","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B","Epiphany 4A","Epiphany 4A",213
,"Proper 17/ Ordinary 22B","Proper 11C/ Ordinary 16C","Proper 11C/ Ordinary 16C","Proper 17/ Ordinary 22B","Proper 17/ Ordinary 22B",214
,"Proper 11C/ Ordinary 16C",,,"Proper 11C/ Ordinary 16C",,215
"Psalm 16","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",216
,"Easter 2A","Easter 3A","Lent 2B","Easter 2A","Easter 2A",217
,"Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Easter Vigil B",218
,"Proper 28B/ Ordinary 33B","Proper 28B/ Ordinary 33B","Proper 16/ Ordinary 21B","Proper 28B/ Ordinary 33B","Easter Vigil C",219
,"Easter Vigil C","Easter Vigil C","Proper 28B/ Ordinary 33B","Easter Vigil C",,220
,"Proper 8C/ Ordinary 13C","Proper 8C/ Ordinary 13C","Easter Vigil C","Proper 8C/ Ordinary 13C",,221
,,,"Proper 8C/ Ordinary 13C",,,222
"Psalm 17","Proper 13A/ Ordinary 18A","Proper 27C/ Ordinary 32C","Proper 27C/ Ordinary 32C","Proper 27C/ Ordinary 32C","Proper 7A/ Ordinary 12A",223
,"Proper 27C/ Ordinary 32C",,,,"Proper 13A/ Ordinary 18A",224
"Psalm 18",,"Proper 25/ Ordinary 30A",,,,225
,,"Proper 26B/ Ordinary 31B",,,,226
"Psalm 19","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",227
,"Proper 22/ Ordinary 27A","Lent 3B","Lent 3B","Lent 3B","Proper 22/ Ordinary 27A",228
,"Lent 3B","Easter Vigil B","Easter Vigil B","Easter Vigil B","Lent 3B",229
,"Easter Vigil B","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B","Proper 21/ Ordinary 26B","Easter Vigil B",230
,"Proper 19/ Ordinary 24B","Epiphany 3C","Easter Vigil C","Epiphany 3C","Proper 19/ Ordinary 24B",231
,"Proper 21/ Ordinary 26B","Easter Vigil C",,"Easter Vigil C","Epiphany 3C",232
,"Epiphany 3C",,,,"Easter Vigil C",233
,"Easter Vigil C",,,,"Proper24C/ Ordinary 29C",234
"Psalm 20","Proper 6/ Ordinary 11B",,,,"Proper 6/ Ordinary 11B",235
"Psalm 22","Good Friday A","Passion A","Passion A","Good Friday A","Good Friday A",236
,"Lent 2B","Passion B","Good Friday A","Lent 2B","Lent 2B",237
,"Good Friday B","Easter 5B","Passion B","Good Friday B","Good Friday B",238
,"Easter 5B","Passion C","Good Friday B","Easter 5B","Easter 5B",239
,"Proper 23B/ Ordinary 28B",,"Proper 11/ Ordinary 16B","Good Friday C","Proper 23B/ Ordinary 28B",240
,"Good Friday C",,"Passion C","Proper 7C/ Ordinary 12C","Good Friday C",241
,"Proper 7C/ Ordinary 12C",,"Good Friday C",,,242
"Psalm 23","Lent 4A","Lent 4A","Lent 4A","Lent 4A","Lent 4A",243
,"Easter 4A","Easter 4A","Easter 4A","Easter 4A","Easter 4A",244
,"Proper 23/ Ordinary 28A","Proper 23/ Ordinary 28A","Proper 23/ Ordinary 28A","Proper 23/ Ordinary 28A","Easter 4B",245
,"Easter 4B","Christ the King A","Easter 4B","Easter 4B","Easter 4C",246
,"Proper 11/ Ordinary 16B","Proper 11/ Ordinary 16B",,"Proper 11/ Ordinary 16B",,247
,"Easter 4C",,,"Easter 4C",,248
"Psalm 24","Proper 10/ Ordinary 15B","Advent 4A","Advent 4A","All Saints B","Proper 10/ Ordinary 15B",249
,"All Saints B","Palms A",,,"All Saints B",250
,,"All Saints A",,,,251
,,"Palms B",,,,252
,,"All Saints B",,,,253
,,"Palms C",,,,254
,,"All Saints C",,,,255
"Psalm 25","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A","Proper 21/ Ordinary 26A","Proper 10A/ Ordinary 15A",256
,"Lent 1B","Epiphany 3B","Lent 1B","Lent 1B","Lent 1B",257
,"Advent 1C","Lent 1B","Proper 10C/ Ordinary 15C","Advent 1C","Proper 22/ Ordinary 27B",258
,"Proper 10C/ Ordinary 15C","Advent 1C",,"Proper 10C/ Ordinary 15C","Advent 1C",259
"Psalm 26","Proper 17A/ Ordinary 22A",,"Proper 17A/ Ordinary 22A","Proper 17A/ Ordinary 22A","Proper 22/ Ordinary 27B",260
,"Proper 22/ Ordinary 27B",,,,,261
"Psalm 27","Epiphany 3A","Epiphany 3A","Epiphany 5A","Epiphany 3A","Epiphany 3A",262
,"Lent 2C","Holy Week Monday A","Lent 2C","Lent 2C","Lent 2C",263
,,"Easter 7A",,,,264
,,"Holy Week Monday B",,,,265
,,"Lent 2C",,,,266
,,"Holy Week Monday C",,,,267
"Psalm 29","Baptism A","Baptism A","Proper 14A/ Ordinary 19A","Baptism A","Baptism A",268
,"Baptism B","Baptism B","Trinity C","Baptism B","Baptism B",269
,"Trinity B","Baptism C",,"Trinity B","Trinity B",270
,"Baptism C",,,"Baptism C","Baptism C",271
"Psalm 30","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A","Easter Vigil A",272
,"Epiphany 6B","Easter Vigil B","Easter Vigil B","Epiphany 6B","Epiphany 6B",273
,"Easter Vigil B","Proper 8/ Ordinary 13B","Easter Vigil C","Easter Vigil B","Easter Vigil B",274
,"Proper 8/ Ordinary 13B","Easter Vigil C","Proper 5C/ Ordinary 10C","Proper 8/ Ordinary 13B","Easter Vigil C",275
,"Easter Vigil C","Easter 3C",,"Easter Vigil C","Easter 3C",276
,"Easter 3C","Proper 5C/ Ordinary 10C",,"Easter 3C","Proper 9C/ Ordinary 14C",277
,"Proper 5C/ Ordinary 10C",,,"Proper 5C/ Ordinary 10C",,278
,"Proper 9C/ Ordinary 14C",,,,,279
"Psalm 31","Epiphany 9A","Epiphany 9A","Epiphany 9A","Epiphany 9A","Epiphany 9A",280
,"Passion A","Good Friday A","Holy Saturday A","Passion A","Passion A",281
,"Holy Saturday A","Holy Saturday A","Holy Saturday B","Holy Saturday A","Holy Saturday A",282
,"Easter 5A","Good Friday B","Holy Saturday C","Easter 5A","Easter 5A",283
,"Proper 4A","Holy Saturday B",,"Passion B","Passion B",284
,"Passion B","Good Friday C",,"Holy Saturday B","Holy Saturday B",285
,"Holy Saturday B","Holy Saturday C",,"Passion C","Passion C",286
,"Passion C",,,"Holy Saturday C","Holy Saturday C",287
,"Holy Saturday C",,,,,288
"Psalm 32","Lent 1A","Epiphany 6B","Epiphany 7B","Lent 1A","Lent 1A",289
,"Lent 4C","Proper 6C/ Ordinary 11C","Proper 6C/ Ordinary 11C","Lent 4C","Lent 4C",290
,"Proper 6C/ Ordinary 11C",,"Proper 26C/ Ordinary 31C","Proper 6C/ Ordinary 11C",,291
,"Proper 26C/ Ordinary 31C",,,"Proper 26C/ Ordinary 31C",,292
"Psalm 33","Proper 5A/ Ordinary 10A","Lent 2A","Lent 2A","Proper 14C/ Ordinary 19C","Easter Vigil A",293
,"Proper 14C/ Ordinary 19C","Easter Vigil A","Pentecost A",,"Proper 5A/ Ordinary 10A",294
,,"Easter 5A","Easter 6B",,"Easter Vigil B",295
,,"Easter Vigil B","Pentecost B",,"Easter Vigil C",296
,,"Trinity B","Easter 3C",,,297
,,"Proper 24B/ Ordinary 29B","Pentecost C",,,298
,,"Easter Vigil C","Proper 14C/ Ordinary 19C",,,299
,,"Proper 14C/ Ordinary 19C",,,,300
"Psalm 34","All Saints A","Proper 14/ Ordinary 19B","Proper 14/ Ordinary 19B","All Saints A","All Saints A",301
